Rasmussen Reports,2/14 - 2/14,1000 LV,3.0,39,27,15,10,Santorum +12
Gallup Tracking,2/11 - 2/15,1200 RV,4.0,32,31,14,10,Santorum +1
CNN/Opinion Research,2/10 - 2/13,478 A,4.5,34,32,15,16,Santorum +2
CBS News/NY Times,2/8 - 2/13,331 RV,5.0,30,27,10,12,Santorum +3
Pew Research,2/8 - 2/12,552 RV,5.0,30,28,17,12,Santorum +2
PPP (D),2/9 - 2/10,656 RV,3.8,38,23,17,13,Santorum +15
FOX News,2/6 - 2/9,407 RV,5.0,23,33,22,15,Romney +10
Rasmussen Reports,2/6 - 2/6,1000 LV,3.0,18,34,27,11,Romney +7
Reuters/Ipsos,2/2 - 2/6,405 A,4.9,18,29,19,21,Romney +8
ABC News/Wash Post,2/1 - 2/4,RV,--,18,38,24,14,Romney +14
Gallup Tracking,1/22 - 1/26,1159 LV,4.0,15,24,32,14,Gingrich +8
Rasmussen Reports,1/23 - 1/23,1000 LV,3.0,16,28,35,10,Gingrich +7
NBC News/Wall St. Jrnl,1/22 - 1/24,441 RV,4.7,18,28,37,12,Gingrich +9
Rasmussen Reports,1/17 - 1/17,1000 LV,3.0,15,30,27,13,Romney +3
CBS News/NY Times,1/12 - 1/16,340 RV,5.0,16,28,21,15,Romney +7
Gallup Tracking,1/12 - 1/16,1200 RV,3.0,15,34,15,12,Romney +19
Pew Research,1/11 - 1/16,527 RV,5.5,14,31,16,15,Romney +15
ABC News/Wash Post,1/12 - 1/15,RV,--,13,36,16,16,Romney +20
FOX News,1/12 - 1/14,365 RV,5.0,15,40,14,13,Romney +25
CNN/Opinion Research,1/11 - 1/12,449 A,4.5,15,34,18,15,Romney +16
Gallup Tracking,1/8 - 1/12,1195 RV,--,14,34,15,12,Romney +19
Reuters/Ipsos,1/5 - 1/9,414 A,4.7,13,30,20,16,Romney +10
CBS News,1/4 - 1/8,440 RV,5.0,14,19,15,10,Romney +4
Pew Research,1/4 - 1/8,549 RV,5.5,16,27,16,12,Romney +11
Rasmussen Reports,1/4 - 1/4,1000 LV,3.0,21,29,16,12,Romney +8
Gallup Tracking,1/2 - 1/6,1200 RV,3.0,16,29,17,12,Romney +12
CNN/Opinion Research,12/16 - 12/18,436 A,4.5,4,28,28,14,Tie
ABC News/Wash Post,12/15 - 12/18,RV,6.0,4,30,30,15,Tie
CBS News,12/14 - 12/18,291 RV,6.0,3,20,20,10,Tie
Gallup Tracking,12/14 - 12/19,1000 RV,4.0,4,23,25,12,Gingrich +2
PPP (D),12/16 - 12/18,658 RV,3.8,4,22,35,11,Gingrich +13
Reuters/Ipsos,12/8 - 12/12,443 A,4.7,4,18,28,12,Gingrich +10
