Rasmussen Reports,2/14 - 2/15,1000 LV,44,39,Obama +5
CNN/Opinion Research,2/10 - 2/13,937 RV,52,45,Obama +7
CBS News/NY Times,2/8 - 2/13,1604 RV,50,39,Obama +11
PPP (D),2/9 - 2/12,1200 RV,49,41,Obama +8
FOX News,2/6 - 2/9,1110 RV,48,38,Obama +10
Rasmussen Reports,2/4 - 2/5,1000 LV,50,38,Obama +12
IBD/CSM/TIPP,1/29 - 2/4,852 RV,49,33,Obama +16
Rasmussen Reports,1/31 - 2/1,1000 LV,45,42,Obama +3
USA Today/Gallup,1/27 - 1/28,907 RV,49,46,Obama +3
Rasmussen Reports,1/23 - 1/24,1000 LV,47,37,Obama +10
PPP (D),1/13 - 1/16,700 RV,47,42,Obama +5
CBS News/NY Times,1/12 - 1/16,1021 RV,46,42,Obama +4
ABC News/Wash Post,1/12 - 1/15,RV,49,42,Obama +7
CNN/Opinion Research,1/11 - 1/12,928 RV,48,46,Obama +2
Rasmussen Reports,1/11 - 1/12,1000 LV,43,37,Obama +6
Reuters/Ipsos,1/5 - 1/9,896 RV,48,41,Obama +7
CBS News,1/4 - 1/8,1247 RV,46,45,Obama +1
CNN/Opinion Research,12/16 - 12/18,928 RV,52,45,Obama +7
PPP (D),12/16 - 12/18,700 RV,46,41,Obama +5
ABC News/Wash Post,12/15 - 12/18,RV,49,44,Obama +5
Rasmussen Reports,12/10 - 12/11,1000 LV,43,35,Obama +8
NBC News/Wall St. Jrnl,12/7 - 12/11,RV,50,37,Obama +13
PPP (D),11/10 - 11/13,800 RV,47,41,Obama +6
McClatchy/Marist,11/8 - 11/10,872 RV,49,41,Obama +8
Rasmussen Reports,10/28 - 10/29,1000 LV,44,35,Obama +9
PPP (D),10/7 - 10/10,700 RV,47,39,Obama +8
Rasmussen Reports,9/24 - 9/25,1000 LV,44,34,Obama +10
CNN/Opinion Research,9/23 - 9/25,917 RV,51,47,Obama +4
Reuters/Ipsos,9/8 - 9/12,932 RV,49,42,Obama +7
Gallup,8/17 - 8/18,879 RV,47,45,Obama +2
Rasmussen Reports,8/15 - 8/16,1000 LV,39,38,Obama +1
ABC News/Wash Post,7/14 - 7/17,RV,52,42,Obama +10
Rasmussen Reports,6/26 - 6/27,1000 LV,41,37,Obama +4
Reuters/Ipsos,6/3 - 6/6,1132 A,54,36,Obama +18
CNN/Opinion Research,4/29 - 5/1,964 RV,52,45,Obama +7
Rasmussen Reports,3/20 - 3/21,1000 LV,42,34,Obama +8
PPP (D),2/11 - 2/14,600 RV,48,39,Obama +9
Rasmussen Reports,1/17 - 1/18,1000 LV,44,35,Obama +9
PPP (D),6/4 - 6/7,650 RV,46,36,Obama +10
Rasmussen Reports,4/12 - 4/13,1000 LV,42,41,Obama +1
PPP (D),11/13 - 11/15,1066 RV,46,38,Obama +8
