Rasmussen Tracking,2/13 - 2/15,1500 LV,47,43,Obama +4
Democracy Corps (D),2/11 - 2/14,1000 LV,49,45,Obama +4
CNN/Opinion Research,2/10 - 2/13,937 RV,51,46,Obama +5
CBS News/NY Times,2/8 - 2/13,1604 RV,48,42,Obama +6
PPP (D),2/9 - 2/12,1200 RV,49,42,Obama +7
Pew Research,2/8 - 2/12,1172 RV,52,44,Obama +8
FOX News,2/6 - 2/9,1110 RV,47,42,Obama +5
Reuters/Ipsos,2/2 - 2/6,881 RV,48,42,Obama +6
ABC News/Wash Post,2/1 - 2/4,879 RV,51,45,Obama +6
IBD/CSM/TIPP,1/29 - 2/4,852 RV,47,41,Obama +6
Rasmussen Reports,1/31 - 2/2,1500 LV,45,45,Tie
USA Today/Gallup,1/27 - 1/28,907 RV,48,48,Tie
NBC News/Wall St. Jrnl,1/22 - 1/24,RV,49,43,Obama +6
Rasmussen Reports,1/19 - 1/21,1500 LV,46,43,Obama +3
PPP (D),1/13 - 1/16,700 RV,49,44,Obama +5
CBS News/NY Times,1/12 - 1/16,1021 RV,45,45,Tie
ABC News/Wash Post,1/12 - 1/15,RV,46,48,Romney +2
Pew Research,1/11 - 1/16,1207 RV,50,45,Obama +5
FOX News,1/12 - 1/14,906 RV,46,45,Obama +1
CNN/Opinion Research,1/11 - 1/12,928 RV,47,48,Romney +1
Democracy Corps (D),1/8 - 1/11,1000 LV,47,46,Obama +1
Rasmussen Reports,1/9 - 1/10,1000 LV,44,41,Obama +3
Reuters/Ipsos,1/5 - 1/9,896 RV,48,43,Obama +5
CBS News,1/4 - 1/8,1247 RV,45,47,Romney +2
Rasmussen Reports,1/3 - 1/4,1000 LV,42,42,Tie
Rasmussen Reports,12/27 - 12/28,1000 LV,39,45,Romney +6
Rasmussen Reports,12/20 - 12/21,1000 LV,44,41,Obama +3
CNN/Opinion Research,12/16 - 12/18,928 RV,52,45,Obama +7
PPP (D),12/16 - 12/18,700 RV,45,47,Romney +2
ABC News/Wash Post,12/15 - 12/18,RV,47,47,Tie
USA Today/Gallup,12/15 - 12/18,898 RV,50,48,Obama +2
Rasmussen Reports,12/14 - 12/15,1000 LV,42,43,Romney +1
